#metadataBlock	name	dataverseAlias   displayName	frenchdisplayName														
	geospatial		Geospatial Metadata	Métadonnées géospatiales													
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	frenchtitle	frenchdescription
	country	Pitcairn		174													Pitcairn
	country	Poland		175													Pologne
	country	Portugal		176													Portugal
	country	Puerto Rico		177													Porto Rico
	country	Qatar		178													Qatar
	country	Romania		179													Roumanie
	country	Russian Federation		180													Russie
	country	Rwanda		181													Rwanda
	country	Réunion		182													Réunion
	country	Saint Barthélemy		183													Saint-Barthélemy
	country	Saint Helena, Ascension and Tristan da Cunha		184													Sainte-Hélène, Ponape et Tristan da Cunha
	country	Saint Kitts and Nevis		185													Saint-Kitts-et-Nevis
	country	Saint Lucia		186													Sainte-Lucie
	country	Saint Martin (French part)		187													Saint-Martin (partie française)
	country	Saint Pierre and Miquelon		188													Saint-Pierre et Miquelon
	country	Saint Vincent and the Grenadines		189													Saint-Vincent-et-les Grenadines
	country	Samoa		190													Samoa
	country	San Marino		191													Saint-Marin
	country	Sao Tome and Principe		192													Sao Tomé-et-Principe
	country	Saudi Arabia		193													Arabie saoudite
	country	Senegal		194													Sénégal
	country	Serbia		195													Serbie
	country	Seychelles		196													Seychelles
	country	Sierra Leone		197													Sierra Leone
	country	Singapore		198													Singapour
	country	Sint Maarten (Dutch part)		199													Saint-Martin (partie néerlandaise)
	country	Slovakia		200													Slovaquie
	country	Slovenia		201													Slovénie
	country	Solomon Islands		202													Îles Salomon
	country	Somalia		203													Somalie
	country	South Africa		204													Afrique du Sud
	country	South Georgia and the South Sandwich Islands		205													Géorgie du Sud et les îles Sandwich du Sud
	country	South Sudan		206													Soudan du Sud
	country	Spain		207													Espagne
	country	Sri Lanka		208													Sri Lanka
	country	Sudan		209													Soudan
	country	Suriname		210													Suriname
	country	Svalbard and Jan Mayen		211													Svalbard et île de Jan Mayen
	country	Swaziland		212	SWAZILAND												Swaziland
	country	Sweden		213													Suède
	country	Switzerland		214													Suisse
	country	Syrian Arab Republic		215													Syrie
	country	Taiwan, Province of China		216	Taiwan												Taïwan, province de Chine
	country	Tajikistan		217													Tadjikistan
	country	Tanzania, United Republic of		218	Tanzania												Tanzanie
	country	Thailand		219													Thaïlande
	country	Timor-Leste		220													Timor-Leste
	country	Togo		221													Togo
	country	Tokelau		222													Tokelau
	country	Tonga		223													Tonga
	country	Trinidad and Tobago		224													Trinité-et-Tobago
	country	Tunisia		225													Tunisie
	country	Turkey		226													Turquie
	country	Turkmenistan		227													Turkménistan
	country	Turks and Caicos Islands		228													Îles Turks et Caicos
	country	Tuvalu		229													Tuvalu
	country	Uganda		230													Ouganda
	country	Ukraine		231													Ukraine
	country	United Arab Emirates		232	UAE												Émirats arabes unis
	country	United Kingdom		233													Royaume-Uni 
	country	United States		234	U.S.A	USA	United States of America	U.S.A.									États-Unis
	country	United States Minor Outlying Islands		235													Petites îles excentriques des États-Unis
	country	Uruguay		236													Uruguay
	country	Uzbekistan		237													Ouzbékistan
	country	Vanuatu		238													Vanuatu
	country	Venezuela, Bolivarian Republic of		239													Venezuela
	country	Viet Nam		240													Vietnam
	country	Virgin Islands, British		241													Îles Vierges britanniques
	country	Virgin Islands, U.S.		242													Îles Vierges américaine
	country	Wallis and Futuna		243													Wallis-et-Futuna
	country	Western Sahara		244													République arabe sahraouie démocratique
	country	Yemen		245	YEMEN												Yémen
	country	Zambia		246													Zambie
	country	Zimbabwe		247													Zimbabwe
	country	Åland Islands		248													Åland
