Id	Part2b	Part2t	Part1	Scope	Language_Type	Ref_Name	Comment
enf				I	L	Forest Enets	
frt				I	L	Fortsenal	
zos				I	L	Francisco León Zoque	
frk				I	H	Frankish	
fra	fre	fra	fr	I	L	French	
fsl				I	L	French Sign Language	
fur	fur	fur		I	L	Friulian	
ful	ful	ful	ff	M	L	Fulah	
flr				I	L	Fuliiru	
fun				I	L	Fulniô	
fum				I	L	Fum	
ula				I	L	Fungwa	
fvr				I	L	Fur	
fuu				I	L	Furu	
fut				I	L	Futuna-Aniwa	
fuy				I	L	Fuyug	
fwa				I	L	Fwâi	
fwe				I	L	Fwe	
pym				I	L	Fyam	
fie				I	L	Fyer	
ztu				I	L	Güilá Zapotec	
gaa	gaa	gaa		I	L	Ga	
gie				I	L	Gaɓogbo	
gqa				I	L	Ga'anda	
gdg				I	L	Ga'dang	
ttb				I	L	Gaa	
tbi				I	L	Gaam	
gbw				I	L	Gabi-Gabi	
gab				I	L	Gabri	
xgf				I	E	Gabrielino-Fernandeño	
gdk				I	L	Gadang	
gad				I	L	Gaddang	
gbk				I	L	Gaddi	
ged				I	L	Gade	
gda				I	L	Gade Lohar	
gdh				I	L	Gadjerawang	
gaj				I	L	Gadsup	
gft				I	E	Gafat	
gbu				I	L	Gagadu	
gag				I	L	Gagauz	
btg				I	L	Gagnoa Bété	
ggu				I	L	Gagu	
bfu				I	L	Gahri	
gbf				I	L	Gaikundi	
gic				I	L	Gail	
gcn				I	L	Gaina	
gap				I	L	Gal	
glo				I	L	Galambu	
xga				I	H	Galatian	
gbi				I	L	Galela	
gar				I	L	Galeya	
car	car	car		I	L	Galibi Carib	
gce				I	E	Galice	
glg	glg	glg	gl	I	L	Galician	
xgl				I	H	Galindan	
sdn				I	L	Gallurese Sardinian	
adl				I	L	Galo	
gal				I	L	Galolen	
kgj				I	L	Gamale Kham	
gma				I	E	Gambera	
wof				I	L	Gambian Wolof	
kld				I	L	Gamilaraay	
gbl				I	L	Gamit	
gak				I	L	Gamkonora	
gmv				I	L	Gamo	
bte				I	E	Gamo-Ningi	
gan				I	L	Gan Chinese	
gnq				I	L	Gana	
gne				I	L	Ganang	
lug	lug	lug	lg	I	L	Ganda	
gzn				I	L	Gane	
gcd				I	E	Ganggalida	
ggl				I	L	Ganglau	
gnb				I	L	Gangte	
gnl				I	E	Gangulu	
gao				I	L	Gants	
gza				I	L	Ganza	
gnz				I	L	Ganzi	
gga				I	L	Gao	
pwg				I	L	Gapapaiwa	
gbm				I	L	Garhwali	
cab				I	L	Garifuna	
ilg				I	E	Garig-Ilgar	
xgi				I	E	Garingbal	
gll				I	E	Garlali	
grt				I	L	Garo	
gex				I	L	Garre	
wrk				I	L	Garrwa	
gyb				I	L	Garus	
xgr				I	E	Garza	
gaq				I	L	Gata'	
dmc				I	L	Gavak	
gou				I	L	Gavar	
gvo				I	L	Gavião Do Jiparaná	
gwt				I	L	Gawar-Bati	
gwc				I	L	Gawri	
gwd				I	L	Gawwada	
gyl				I	L	Gayil	
gay	gay	gay		I	L	Gayo	
gzi				I	L	Gazi	
gbr				I	L	Gbagyi	
gbv				I	L	Gbanu	
gbg				I	L	Gbanziri	
gby				I	L	Gbari	
gba	gba	gba		M	L	Gbaya (Central African Republic)	
krs				I	L	Gbaya (Sudan)	
gbp				I	L	Gbaya-Bossangoa	
gbq				I	L	Gbaya-Bozoum	
gmm				I	L	Gbaya-Mbodomo	
gyg				I	L	Gbayi	
gbs				I	L	Gbesi Gbe	
ggb				I	L	Gbii	
xgb				I	E	Gbin	
grh				I	L	Gbiri-Niragu	
gec				I	L	Gboloo Grebo	
hmj				I	L	Ge	
kvq				I	L	Geba Karen	
gei				I	L	Gebe	
gdd				I	L	Gedaged	
drs				I	L	Gedeo	
gez	gez	gez		I	H	Geez	
gyz				I	L	Geji	
ghk				I	L	Geko Karen	
nlg				I	L	Gela	
geq				I	L	Geme	
gej				I	L	Gen	
gaf				I	L	Gende	
geg				I	L	Gengle	
kat	geo	kat	ka	I	L	Georgian	
ygp				I	L	Gepo	
gew				I	L	Gera	
gef				I	L	Gerai	
deu	ger	deu	de	I	L	German	
gsg				I	L	German Sign Language	
gea				I	L	Geruma	
ges				I	L	Geser-Gorom	
pgd				I	H	Gāndhārī	
gha				I	L	Ghadamès	
gpe				I	L	Ghanaian Pidgin English	
gse				I	L	Ghanaian Sign Language	
gds				I	L	Ghandruk Sign Language	
ghn				I	L	Ghanongga	
gri				I	L	Ghari	
bmk				I	L	Ghayavi	
aln				I	L	Gheg Albanian	
ghr				I	L	Ghera	
gdo				I	L	Ghodoberi	
